ts,o,h,l,c,v
1787104200000,64409.8,64409.8,64403.9,64403.9,0.618892
1787104260000,64403.9,64403.9,64402.1,64402.2,0.333475
1787104320000,64402.2,64428.8,64402.1,64428.3,7.191591
1787104380000,64428.3,64428.8,64419.5,64425.4,2.793068
1787104440000,64425.4,64425.5,64419.1,64419.1,1.977974
1787104500000,64419.1,64442.3,64419.1,64442.3,3.427723
1787104560000,64442.3,64442.3,64415.5,64415.5,3.079644
1787104620000,64415.5,64415.5,64399.1,64399.1,3.504464
1787104680000,64399.1,64399.1,64390.9,64390.9,1.864614
1787104740000,64390.9,64396.4,64383.8,64396.4,7.334432
1787104800000,64396.4,64396.4,64371.7,64371.8,8.25408
1787104860000,64371.8,64382.4,64358.9,64382.4,14.299548
1787104920000,64382.4,64382.4,64367.2,64367.3,3.6969
1787104980000,64367.3,64381.0,64367.3,64374.0,3.456119
1787105040000,64374.0,64374.0,64361.9,64365.1,4.202502
1787105100000,64365.1,64365.1,64365.1,64365.1,0.043781
1787105160000,64365.1,64378.0,64365.0,64370.0,2.480863
1787105220000,64370.0,64370.0,64353.0,64356.2,3.861304
1787105280000,64356.2,64356.2,64354.1,64354.1,0.479224
1787105340000,64354.1,64354.1,64353.3,64353.4,0.050892
1787105400000,64353.4,64369.5,64347.3,64365.1,5.055653
1787105460000,64365.1,64377.4,64361.2,64377.4,2.514522
1787105520000,64377.4,64405.5,64377.4,64397.2,4.283236
1787105580000,64397.2,64399.3,64395.7,64395.7,2.155575
1787105640000,64395.7,64403.1,64377.0,64395.2,14.0287
1787105700000,64395.2,64395.2,64378.8,64378.9,1.533862
1787105760000,64378.9,64397.0,64371.6,64377.6,8.844149
1787105820000,64377.6,64377.6,64356.8,64356.9,6.338344
1787105880000,64356.9,64359.0,64348.6,64358.9,5.037459
1787105940000,64358.9,64358.9,64348.6,64348.6,1.483379
1787106000000,64348.6,64357.4,64340.2,64350.6,7.702992
1787106060000,64350.6,64386.8,64350.6,64384.7,3.880013
1787106120000,64384.7,64384.7,64376.8,64376.9,4.071024
1787106180000,64376.9,64386.2,64373.2,64386.2,4.248492
1787106240000,64386.2,64395.1,64384.7,64384.7,1.826357
1787106300000,64384.7,64397.2,64382.2,64397.2,3.271658
1787106360000,64397.2,64411.3,64397.2,64411.3,3.291364
1787106420000,64411.3,64413.1,64388.9,64388.9,3.521269
1787106480000,64388.9,64406.9,64384.6,64391.4,7.76981
1787106540000,64391.4,64391.4,64378.5,64387.9,3.758717
1787106600000,64387.9,64398.6,64383.9,64398.6,2.557134
1787106660000,64398.6,64398.6,64394.3,64394.3,0.825443
1787106720000,64394.3,64394.3,64379.2,64379.2,1.747038
1787106780000,64379.2,64379.3,64377.2,64377.3,0.310581
1787106840000,64377.3,64377.3,64370.7,64370.7,0.734513
1787106900000,64370.7,64403.1,64370.7,64396.5,6.22247
1787106960000,64396.5,64405.8,64396.5,64401.3,1.983857
1787107020000,64401.3,64408.3,64401.2,64408.3,1.972536
1787107080000,64408.3,64408.3,64390.0,64390.0,3.667186
1787107140000,64390.0,64403.4,64389.0,64403.4,2.74419
1787107200000,64403.4,64403.4,64394.5,64401.1,4.019142
1787107260000,64401.1,64401.1,64380.1,64380.1,2.967745
1787107320000,64380.1,64390.4,64380.1,64389.5,3.496051
1787107380000,64389.5,64389.5,64384.9,64384.9,0.505669
1787107440000,64384.9,64385.0,64384.9,64385.0,0.099616
1787107500000,64385.0,64391.1,64384.9,64391.1,2.6445
1787107560000,64391.1,64413.4,64391.1,64410.6,3.832268
1787107620000,64410.6,64410.6,64389.2,64390.3,3.283825
1787107680000,64390.3,64390.3,64382.7,64382.8,1.826975
1787107740000,64382.8,64382.8,64370.4,64370.5,1.710743
1787107800000,64370.5,64370.5,64370.4,64370.5,0.064355
1787107860000,64370.5,64370.5,64368.6,64368.6,0.498809
1787107920000,64368.6,64368.6,64351.1,64352.1,7.858583
1787107980000,64352.1,64354.2,64351.2,64352.4,3.458172
1787108040000,64352.4,64352.5,64342.8,64342.8,1.189678
1787108100000,64342.8,64365.7,64342.8,64365.6,3.527522
1787108160000,64365.6,64365.6,64362.0,64362.1,0.375461
1787108220000,64362.1,64362.1,64358.4,64358.5,0.899726
1787108280000,64358.5,64358.5,64350.7,64350.7,1.862136
1787108340000,64350.7,64350.8,64346.8,64346.9,0.92894
1787108400000,64346.9,64346.9,64346.8,64346.8,0.074099
1787108460000,64346.8,64346.9,64332.8,64346.8,5.250042
1787108520000,64346.8,64348.8,64346.7,64348.8,2.084484
